                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2557,                  1.173,                 1.4204,                0.58658,                0.79618,                0.74577,                0.44178,                 1.3962,                 1.1137,                 1.4771,             0.00063865,             0.00063865,             0.00063865
                     76,                 1.2296,                 1.1348,                 1.4004,                0.84432,                0.61241,                0.69501,                0.40764,                 1.4544,                 1.1546,                 1.5895,              0.0006337,              0.0006337,              0.0006337
                     77,                 1.2497,                 1.1505,                 1.4101,                0.56926,                0.75481,                0.72688,                0.43613,                 1.5144,                 1.1084,                 1.6931,             0.00062875,             0.00062875,             0.00062875
                     78,                 1.2428,                 1.1374,                 1.4058,                0.54564,                0.75351,                0.71004,                0.43015,                 1.5346,                 1.0245,                 1.6928,              0.0006238,              0.0006238,              0.0006238
                     79,                 1.2317,                 1.1047,                 1.3996,                0.87774,                0.63017,                 0.7196,                0.40704,                 1.6451,                 1.0727,                 1.8116,             0.00061885,             0.00061885,             0.00061885
                     80,                 1.2282,                 1.0981,                  1.408,                0.63622,                0.76253,                0.75571,                0.44213,                 1.6281,                 1.0074,                 1.7653,              0.0006139,              0.0006139,              0.0006139
                     81,                 1.2179,                 1.0903,                 1.4002,                0.58944,                0.73267,                0.72983,                0.42258,                 1.6564,                 1.0387,                  1.782,             0.00060895,             0.00060895,             0.00060895
                     82,                 1.2156,                 1.0781,                 1.3906,                0.65783,                0.73713,                0.72958,                0.42869,                 1.6228,                 1.0321,                 1.7445,               0.000604,               0.000604,               0.000604
                     83,                 1.2108,                 1.0811,                 1.3771,                0.56895,                0.78665,                0.72309,                 0.4278,                 1.4695,                 1.1303,                 1.6373,             0.00059905,             0.00059905,             0.00059905
                     84,                 1.2196,                 1.0843,                 1.3893,                0.85406,                0.61582,                0.67968,                 0.3864,                 1.6397,                 1.1561,                 1.7237,              0.0005941,              0.0005941,              0.0005941
                     85,                 1.2155,                 1.0855,                 1.3888,                0.58222,                0.79339,                0.72231,                0.41751,                 1.5684,                 1.0697,                 1.7462,             0.00058915,             0.00058915,             0.00058915
                     86,                 1.2022,                 1.0771,                 1.3887,                0.60314,                0.69638,                0.69762,                0.41656,                 1.4558,                  1.161,                  1.572,              0.0005842,              0.0005842,              0.0005842
                     87,                 1.2273,                 1.1036,                 1.3946,                0.66124,                0.76472,                0.75592,                0.43068,                 1.5579,                 1.1801,                 1.6564,             0.00057925,             0.00057925,             0.00057925
                     88,                  1.213,                 1.0676,                 1.3799,                0.55242,                0.73989,                0.71675,                0.42505,                 1.5576,                 1.0957,                 1.7234,              0.0005743,              0.0005743,              0.0005743
                     89,                 1.2015,                 1.0689,                 1.3779,                0.61444,                0.70442,                0.70461,                0.38087,                 1.6423,                 1.1469,                 1.7389,             0.00056935,             0.00056935,             0.00056935
                     90,                 1.2062,                   1.08,                 1.3826,                0.59092,                0.76693,                0.72333,                0.42873,                 1.5867,                 1.0994,                 1.6851,              0.0005644,              0.0005644,              0.0005644
                     91,                 1.2028,                 1.0467,                 1.3773,                0.58452,                  0.781,                 0.7154,                0.42486,                 1.5921,                 1.0972,                 1.7617,             0.00055945,             0.00055945,             0.00055945
                     92,                 1.1801,                 1.0784,                 1.3701,                0.51855,                0.80628,                0.64822,                0.40334,                 1.5049,                 1.0737,                 1.6809,              0.0005545,              0.0005545,              0.0005545
                     93,                  1.171,                 1.0521,                 1.3737,                0.67656,                0.70915,                0.72608,                0.42039,                 1.6105,                 1.1577,                 1.7189,             0.00054955,             0.00054955,             0.00054955
                     94,                 1.1881,                 1.0587,                  1.378,                0.59145,                0.80879,                0.72771,                0.43952,                 1.5732,                 1.0169,                 1.7253,              0.0005446,              0.0005446,              0.0005446
                     95,                 1.1788,                 1.0335,                  1.357,                0.60902,                 0.7569,                0.72028,                0.41912,                 1.5462,                 1.0139,                 1.7405,             0.00053965,             0.00053965,             0.00053965
